"Dist Code","Year","State Code","State Name","Dist Name","RICE AREA (1000 ha)","RICE PRODUCTION (1000 tons)","RICE YIELD (Kg per ha)"
"1","1966","14","Chhattisgarh","Durg","548.0","185.0","337.59"
"1","1967","14","Chhattisgarh","Durg","547.0","409.0","747.71"
"1","1968","14","Chhattisgarh","Durg","556.3","468.0","841.27"
"1","1969","14","Chhattisgarh","Durg","563.4","400.8","711.4"
"1","1970","14","Chhattisgarh","Durg","571.6","473.6","828.55"
"1","1971","14","Chhattisgarh","Durg","581.8","412.9","709.69"
"1","1972","14","Chhattisgarh","Durg","582.2","381.0","654.41"
"1","1973","14","Chhattisgarh","Durg","600.0","471.9","786.5"
"1","1974","14","Chhattisgarh","Durg","587.4","219.0","372.83"
"1","1975","14","Chhattisgarh","Durg","598.3","454.0","758.82"
"1","1976","14","Chhattisgarh","Durg","593.6","327.1","551.04"
"1","1977","14","Chhattisgarh","Durg","600.7","572.4","952.89"
"1","1978","14","Chhattisgarh","Durg","612.5","362.2","591.35"
"1","1979","14","Chhattisgarh","Durg","616.8","330.6","535.99"
"1","1980","14","Chhattisgarh","Durg","634.9","515.6","812.1"
"1","1981","14","Chhattisgarh","Durg","630.0","506.9","804.6"
"1","1982","14","Chhattisgarh","Durg","627.9","513.3","817.49"
"1","1983","14","Chhattisgarh","Durg","626.7","711.0","1134.51"
"1","1984","14","Chhattisgarh","Durg","632.2","563.8","891.81"
"1","1985","14","Chhattisgarh","Durg","630.8","699.8","1109.38"
"1","1986","14","Chhattisgarh","Durg","643.0","525.0","816.49"
"1","1987","14","Chhattisgarh","Durg","648.0","523.0","807.1"
"1","1988","14","Chhattisgarh","Durg","652.7","549.7","842.19"
"1","1989","14","Chhattisgarh","Durg","660.2","457.3","692.67"
"1","1990","14","Chhattisgarh","Durg","682.9","806.8","1181.43"
"1","1991","14","Chhattisgarh","Durg","680.8","773.6","1136.31"
"1","1992","14","Chhattisgarh","Durg","688.0","777.3","1129.8"
"1","1993","14","Chhattisgarh","Durg","703.6","876.7","1246.02"
"1","1994","14","Chhattisgarh","Durg","726.8","967.9","1331.73"
"1","1995","14","Chhattisgarh","Durg","723.3","1052.0","1454.44"
"1","1996","14","Chhattisgarh","Durg","710.9","917.2","1290.2"
"1","1997","14","Chhattisgarh","Durg","735.7","837.5","1138.37"
"1","1998","14","Chhattisgarh","Durg","786.51","684.62","870.45"
"1","1999","14","Chhattisgarh","Durg","769.79","963.04","1251.04"
"1","2000","14","Chhattisgarh","Durg","748.76","467.89","624.89"
"1","2001","14","Chhattisgarh","Durg","756.26","978.69","1294.13"
"1","2002","14","Chhattisgarh","Durg","753.41","484.9","643.6"
"1","2003","14","Chhattisgarh","Durg","766.58","1145.82","1494.73"
"1","2004","14","Chhattisgarh","Durg","775.99","984.31","1268.46"
"1","2005","14","Chhattisgarh","Durg","775.99","984.31","1268.46"
"1","2006","14","Chhattisgarh","Durg","781.7","1177.1","1505.81"
"1","2007","14","Chhattisgarh","Durg","799.89","1095.84","1369.98"
"1","2008","14","Chhattisgarh","Durg","803.37","704.09","876.42"
"1","2009","14","Chhattisgarh","Durg","789.04","622.05","788.37"
"1","2010","14","Chhattisgarh","Durg","777.92","1319.18","1695.77"
"1","2011","14","Chhattisgarh","Durg","806.55","1416.48","1756.23"
"1","2012","14","Chhattisgarh","Durg","807.07","1534.22","1900.97"
"1","2013","14","Chhattisgarh","Durg","819.44","1296.24","1581.86"
"1","2014","14","Chhattisgarh","Durg","834.87","1444.24","1729.89"
"1","2015","14","Chhattisgarh","Durg","817.68","880.6","1076.95"
"1","2016","14","Chhattisgarh","Durg","858.91","1791.66","2085.96"
"1","2017","14","Chhattisgarh","Durg","841.13","983.21","1168.92"
"2","1966","14","Chhattisgarh","Bastar","406.0","261.0","642.86"
"2","1967","14","Chhattisgarh","Bastar","414.0","319.0","770.53"
"2","1968","14","Chhattisgarh","Bastar","423.2","294.0","694.71"
"2","1969","14","Chhattisgarh","Bastar","429.1","329.0","766.72"
"2","1970","14","Chhattisgarh","Bastar","437.7","316.8","723.78"
"2","1971","14","Chhattisgarh","Bastar","445.6","366.6","822.71"
"2","1972","14","Chhattisgarh","Bastar","443.1","285.8","645.0"
"2","1973","14","Chhattisgarh","Bastar","450.5","364.3","808.66"
"2","1974","14","Chhattisgarh","Bastar","451.6","302.9","670.73"
"2","1975","14","Chhattisgarh","Bastar","458.3","407.9","890.03"
"2","1976","14","Chhattisgarh","Bastar","459.6","296.1","644.26"
"2","1977","14","Chhattisgarh","Bastar","473.4","430.4","909.17"
"2","1978","14","Chhattisgarh","Bastar","490.4","402.2","820.15"
"2","1979","14","Chhattisgarh","Bastar","497.5","309.2","621.51"
"2","1980","14","Chhattisgarh","Bastar","519.4","391.8","754.33"
"2","1981","14","Chhattisgarh","Bastar","523.5","389.3","743.65"
"2","1982","14","Chhattisgarh","Bastar","527.7","372.4","705.7"
"2","1983","14","Chhattisgarh","Bastar","538.0","408.0","758.36"
"2","1984","14","Chhattisgarh","Bastar","533.4","395.6","741.66"
"2","1985","14","Chhattisgarh","Bastar","555.4","834.3","1502.16"
"2","1986","14","Chhattisgarh","Bastar","556.0","403.0","724.82"
"2","1987","14","Chhattisgarh","Bastar","555.0","382.0","688.29"
"2","1988","14","Chhattisgarh","Bastar","572.8","553.2","965.78"
"2","1989","14","Chhattisgarh","Bastar","571.7","544.7","952.77"
"2","1990","14","Chhattisgarh","Bastar","579.0","561.9","970.47"
"2","1991","14","Chhattisgarh","Bastar","582.3","624.3","1072.13"
"2","1992","14","Chhattisgarh","Bastar","584.4","533.3","912.56"
"2","1993","14","Chhattisgarh","Bastar","605.3","603.7","997.36"
"2","1994","14","Chhattisgarh","Bastar","609.9","604.0","990.33"
"2","1995","14","Chhattisgarh","Bastar","619.0","589.1","951.7"
"2","1996","14","Chhattisgarh","Bastar","644.1","670.5","1040.99"
"2","1997","14","Chhattisgarh","Bastar","622.8","455.0","730.57"
"2","1998","14","Chhattisgarh","Bastar","627.1","569.8","908.63"
"2","1999","14","Chhattisgarh","Bastar","628.47","676.2","1075.95"
"2","2000","14","Chhattisgarh","Bastar","628.03","523.9","834.2"
"2","2001","14","Chhattisgarh","Bastar","633.99","922.15","1454.52"
"2","2002","14","Chhattisgarh","Bastar","623.9","331.38","531.14"
"2","2003","14","Chhattisgarh","Bastar","632.58","1042.75","1648.41"
"2","2004","14","Chhattisgarh","Bastar","635.47","788.65","1241.05"
"2","2005","14","Chhattisgarh","Bastar","635.47","788.65","1241.05"
"2","2006","14","Chhattisgarh","Bastar","546.54","836.54","1530.61"
"2","2007","14","Chhattisgarh","Bastar","626.07","927.73","1481.83"
"2","2008","14","Chhattisgarh","Bastar","627.78","729.33","1161.76"
"2","2009","14","Chhattisgarh","Bastar","626.66","682.46","1089.04"
"2","2010","14","Chhattisgarh","Bastar","621.89","1184.98","1905.45"
"2","2011","14","Chhattisgarh","Bastar","627.73","772.88","1231.23"
"2","2012","14","Chhattisgarh","Bastar","637.8","1341.33","2103.06"
"2","2013","14","Chhattisgarh","Bastar","642.79","1265.91","1969.4"
